FID,LATITUDE,LONGITUDE,POCO,POCO_OPERA,BACIA,CAMPO,BLOCO,UF,TIPO,OPERADORA,RESULTADO,Acidente_mecanico,INICIO,TERMINO,CONCLUSAO,Concl_ano,platafor,ano_fabric,ID,Plataforma_nome,Lata_Velha
1012,-21.8849775,-39.83266583,7-FR-8HP-RJS,MUP2ST,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,produtor comercial de oleo,,3/4/2009,3/27/2009,4/23/2009,2009,,0,0,,
1013,-21.89710389,-39.83356417,7-FR-15HP-RJS,N5P1,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,produtor comercial de oleo,,9/11/2009,9/26/2009,10/20/2009,2009,,0,0,,
1014,-21.89032667,-39.83890111,9-FR-9DP-RJS,OUP2PST,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,produtor comercial de oleo,,3/15/2009,3/18/2009,3/22/2009,2009,,0,0,,
1015,-21.88166167,-39.83715056,3-CHEV-3D-RJS,MUS2,Campos,FRADE,FR,RJ,exploratorio,CHEVRON FRADE,produtor comercial de oleo,,9/14/2008,12/12/2008,12/18/2008,2008,,0,0,,
1016,-21.88988722,-39.81069139,8-FR-5D-RJS,8OUI1,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,injetor - agua,,9/9/2008,11/6/2008,10/5/2009,2009,,0,0,,
1017,-21.89759861,-39.83393778,9-FR-10D-RJS,N5P1P,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,especial - experimental,,5/13/2009,6/12/2009,6/17/2009,2009,,0,0,,
1018,-21.88166167,-39.83715056,9-FR-7DP-RJS,MUS2ST,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,abandonado por outras razoes,,1/28/2009,1/30/2009,2/2/2009,2009,,0,0,,
1019,-21.89032667,-39.83890111,9-FR-1D-RJS,9OUP2-P,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,abandonado por outras razoes,,8/21/2008,2/16/2009,3/22/2009,2009,,0,0,,
1020,-21.89140944,-39.83204472,9-FR-4D-RJS,9ODP1-P,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,abandonado por outras razoes,,8/30/2008,10/10/2008,10/24/2008,2008,,0,0,,
1021,-21.8849775,-39.83266583,7-FR-6-RJS,7MUP2RJS,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,abandonado por outras razoes,,9/18/2008,3/1/2009,4/23/2009,2009,,0,0,,
1022,-21.89900583,-39.82297083,9-FR-41D-RJS,ODI1PN560,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,2/12/2011,8/30/2011,9/4/2011,2011,,0,0,,
1023,-21.87228417,-39.84188,8-FR-35D-RJS,OUI2N545U,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,10/11/2010,10/29/2010,2/3/2011,2011,,0,0,,
1024,-21.88960361,-39.83889972,9-FR-39DP-RJS,OUP3PST1N545U,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,12/22/2010,12/26/2010,12/29/2010,2010,,0,0,,
1025,-21.89032667,-39.81958056,9-FR-38D-RJS,MUI1-P-ST1-N570U,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,10/15/2010,11/25/2010,11/19/2010,2010,,0,0,,
1026,-21.86856306,-39.81726667,6-CHEV-4-RJS,PARU,Campos,FRADE,,RJ,exploratorio,CHEVRON FRADE,,,9/25/2011,9/25/2011,,0,,0,0,,
1027,-21.8901125,-39.81058806,9-FR-45D-RJS,MUI2-ST3-N570U,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,5/4/2011,5/25/2011,8/2/2011,2011,,0,0,,
1028,-21.89054222,-39.83309139,7-FR-21HP-RJS,OUP1,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,9/24/2009,2/25/2010,3/14/2010,2010,,0,0,,
1029,-21.89541694,-39.82817083,9-FR-24DP-RJS,MUP4PST3,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,1/20/2010,1/24/2010,1/24/2010,2010,,0,0,,
1030,-21.8901125,-39.81058806,8-FR-28DA-RJS,MUI2-ST1-N570U,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,5/5/2010,4/22/2011,4/25/2011,2011,,0,0,,
1031,-21.89054222,-39.83309139,9-FR-20DP-RJS,OUP1-P-ST5,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,12/17/2009,12/21/2009,12/22/2009,2009,,0,0,,
1032,-21.89054222,-39.83309139,9-FR-16DP-RJS,OUP1-P-ST,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,11/17/2009,11/20/2009,11/23/2009,2009,,0,0,,
1033,-21.89032667,-39.83890111,7-FR-33HP-RJS,7OUP2,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,7/20/2010,8/20/2010,8/31/2010,2010,,0,0,,
1034,-21.89541694,-39.82817083,7-FR-25HP-RJS,MUP4,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,1/24/2010,3/20/2010,4/10/2010,2010,,0,0,,
1035,-21.89541694,-39.82817083,9-FR-22DP-RJS,MUP4PST2,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,1/16/2010,1/20/2010,1/19/2010,2010,,0,0,,
1036,-21.88960278,-39.83889722,9-FR-37D-RJS,OUP3-P-N570U,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,10/18/2010,12/19/2010,1/23/2011,2011,,0,0,,
1037,-21.88934333,-39.82828917,9-FR-46D-RJS,MUP1-P-N545D,Campos,FRADE,,RJ,desenvolvimento,CHEVRON FRADE,,,8/3/2011,10/19/2011,10/19/2011,2011,,0,0,,
1038,-21.89054222,-39.83309139,9-FR-11D-RJS,OUP1P,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,5/18/2009,11/17/2010,11/17/2009,2009,,0,0,,
1039,-21.89009278,-39.81058722,8-FR-28D-RJS,MUI2-N570U,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,5/6/2010,6/17/2010,,0,,0,0,,
1040,-21.89032667,-39.81958056,9-FR-36D-RJS,MUI1-P-N570U,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,10/15/2010,11/16/2010,11/19/2010,2010,,0,0,,
1041,-21.89054222,-39.83309139,9-FR-19DP-RJS,OUP1-P-ST4,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,12/13/2009,12/15/2009,12/17/2009,2009,,0,0,,
1042,-21.89032667,-39.83890111,9-FR-32DP-RJS,OUP2PST2,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,7/8/2010,7/14/2010,7/20/2010,2010,,0,0,,
1043,-21.89054222,-39.83309139,9-FR-18DP-RJS,OUP1-P-ST3,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,12/6/2009,12/12/2009,12/13/2009,2009,,0,0,,
1044,-21.89541694,-39.82817083,9-FR-23D-RJS,MUP4PST,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,1/12/2010,1/12/2010,1/15/2010,2010,,0,0,,
1045,-21.89949667,-39.8233575,8-FR-48D-RJS,ODI1,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,9/5/2011,9/10/2011,,0,,0,0,,
1046,-21.89501667,-39.82944444,7-FR-34HP-RJS,ODP3,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,8/10/2010,11/9/2010,10/7/2010,2010,,0,0,,
1047,-21.89363917,-39.82787833,7-FR-27HP-RJS,MDP1-ST,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,2/9/2010,2/9/2010,5/1/2010,2010,,0,0,,
1048,-21.89710389,-39.83356417,9-FR-14DP-RJS,N5P1PST,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,8/9/2009,9/8/2009,9/10/2009,2009,,0,0,,
1049,-21.88943083,-39.83309139,9-FR-50DP-RJS,MUP1PST2,Campos,FRADE,,RJ,desenvolvimento,CHEVRON FRADE,,,11/6/2011,11/7/2011,,0,,0,0,,
1050,-21.89399556,-39.82972361,7-FR-30H-RJS,MDP2,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,4/15/2010,12/6/2011,5/22/2011,2011,,0,0,,
1051,-21.89501667,-39.82944444,9-FR-31D-RJS,ODP3P,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,,,5/18/2010,8/5/2010,8/10/2010,2010,,0,0,,
